"","NAME","funding","subsidy","pop_Urban","funding_per_urban_capita","subsidy_per_urban_capita","percent_urban_pop","percent_urban_area","percent_urban_overbudened","pop_below_MHI"
"57","Lebanon",0,0,106621,0,0,0.7443,0.1365,0.328199885576012,27598.9333333333
"58","Centre",323669,215778,103067,3.1403747077144,2.0935702019075,0.6516,0.0319,0.0129333346269902,29043.0989333333
"59","Pike",0,0,7366,0,0,0.1258,0.0267,0,11905.96064
"60","Susquehanna",0,0,0,0,0,0,0,0,7701.99466666667
"61","Washington",19934114,1599514,141532,140.845278806206,11.3014300652856,0.6761,0.1213,0.215795721109007,43578.0632
"62","Union",0,0,15661,0,0,0.3669,0.0319,0,7043.9472
"63","Crawford",28097000,16637558,28625,981.554585152838,581.224733624454,0.341,0.0223,0.128244541484716,16519.483
"64","Venango",0,0,22069,0,0,0.4374,0.0218,0.120712311387013,10673.8018
"65","Lancaster",31200000,2066183,398260,78.340782403455,5.18802541053583,0.7202,0.1877,0.198870084869181,103754.958
"66","Armstrong",9839996.07,3566998.58,22956,428.645934396236,155.384151420108,0.3502,0.0216,0.364262066562119,13875.969
"67","Westmoreland",20164403.89,0,260408,77.4338879373906,0,0.7342,0.1743,0.157088107892231,76328.5373333333
